# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/19/meps_syno_002d.table /lustre/storeA/project/nwp/fark/
#
# TYPE:synop
#
# ATTRIBUTES:17
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.01)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1523923200 1523923200 1020 67.022 27.218 248.83 1016.54 274.28 97.07 2.61 1015.3 277.95 47 NA
 1 1523923200 1523923200 1020 67.162 29.178 252.86 1016.33 274 96.96 2.47 1016.3 273.65 81 0
 1 1523923200 1523923200 1020 68.063 24.033 493.56 1018.21 271.54 91.27 7.07 1019 271.35 99 6.2
 1 1523923200 1523923200 1020 67.973 24.116 402.09 1018.27 271.76 90.7 5.49 1017.6 272.55 82 7.7
 1 1523923200 1523923200 1020 68 24.24 304.35 1018.6 271.69 88.65 2 1018.6 273.05 80 2.1
 1 1523923200 1523923200 1020 68.17 25.783 275.2 1018.37 272.11 86.53 1.84 NA 272.45 85 2.5
 1 1523923200 1523923200 1020 67.822 27.746 260.25 1017.19 272.47 87.76 2.19 NA 273.75 86 2.4
 1 1523923200 1523923200 1020 68.415 27.413 319.58 1018.42 271.17 94.65 3.21 NA 272.05 88 NA
 1 1523923200 1523923200 1020 68.434 27.444 336.86 1018.47 270.95 95.7 3.19 1018.3 271.05 95 8.4
 1 1523923200 1523923200 1020 68.478 28.301 183.52 1018.15 271.21 94.39 1.15 1018.2 272.15 93 3.2
 1 1523923200 1523923200 1020 68.603 23.576 392.99 1019.4 269.48 96.85 2.72 1019.5 270.35 92 1.6
 1 1523923200 1523923200 1020 68.903 25.736 234.91 1019.06 270.61 95.72 1.4 1019.4 271.05 93 3.3
 1 1523923200 1523923200 1020 70.082 27.897 112.16 1019.1 270 98.48 1.05 1019 273.45 86 1
 1 1523923200 1523923200 1020 69.072 27.493 128.61 1018.6 270.94 92.35 2.11 NA 271.55 90 2
 1 1523923200 1523923200 1020 69.049 27.757 121.49 1018.5 270.92 86.38 2.36 1018.3 271.25 90 3.8
 1 1523923200 1523923200 1020 61.145 21.303 -.1 1015.3 274.12 100 4.01 1015.5 274.15 99 4.4
 1 1523923200 1523923200 1020 61.253 22.346 45.06 1014.85 276.94 99.7 2.53 1014.9 276.65 99 3.2
 1 1523923200 1523923200 1020 61.466 23.747 100.12 1013.75 278.59 99.44 1.1 1013.4 280.75 100 NA
 1 1523923200 1523923200 1020 61.265 25.52 84.9 1013.57 276.82 98.97 .94 1013.5 276.45 100 2
 1 1523923200 1523923200 1020 61.217 25.133 148.76 1013.59 278.68 100 .52 1014 275.85 99 .6
 1 1523923200 1523923200 1020 61.039 28.564 47.78 1014.7 278.64 100 2.41 1014.7 278.75 95 2
 1 1523923200 1523923200 1020 61.058 28.209 82.14 1014.51 279.32 98.73 2.12 1014.5 279.95 96 1.8
 1 1523923200 1523923200 1020 61.445 29.461 72.16 1015.74 273.78 98.65 .75 1015.9 274.85 80 .7
 1 1523923200 1523923200 1020 62.334 21.191 .34 1014.16 274.99 98.8 1.67 1013.9 275.85 99 .6
 1 1523923200 1523923200 1020 62.203 21.17 .11 1014.25 274.84 98.93 2.09 1014.2 276.35 100 0
 1 1523923200 1523923200 1020 61.839 22.464 117.06 1014.23 277.61 99.87 2.19 1014 277.65 100 1.4
 1 1523923200 1523923200 1020 62.328 23.542 147.26 1013.84 276.8 99.99 .43 NA 276.25 99 .8
 1 1523923200 1523923200 1020 61.518 23.754 96.63 1013.73 276.41 99.46 .9 1013.6 278.35 100 2.6
 1 1523923200 1523923200 1020 61.704 25.505 86.91 1013.79 276.72 97.07 1.12 NA 277.05 NA 1.5
 1 1523923200 1523923200 1020 61.892 27.885 91.4 1014.98 276.03 99.91 .18 1015.3 275.95 94 0
 1 1523923200 1523923200 1020 62.322 27.908 82.51 1015.23 275.8 99.6 .78 1015.2 275.05 91 1.1
 1 1523923200 1523923200 1020 62.063 28.566 65.09 1015.33 274.2 99.51 1.83 1015.5 274.95 89 1.2
 1 1523923200 1523923200 1020 61.802 29.315 70.69 1015.61 274.27 90.95 1.04 1015.9 273.95 87 NA
 1 1523923200 1523923200 1020 62.934 21.185 1.13 1013.92 277.2 97.3 2.18 1013.8 275.75 99 2
 1 1523923200 1523923200 1020 62.978 20.74 -.27 1014.12 277.06 98.31 3.09 1014 274.85 99 2.6
 1 1523923200 1523923200 1020 62.938 22.489 40.62 1013.87 277.04 99.96 .74 1013.8 277.65 97 0
 1 1523923200 1523923200 1020 63.446 24.444 166.65 1014.53 276.59 100 .84 NA 274.25 96 0
 1 1523923200 1523923200 1020 63.089 24.261 188.61 1014.23 277.2 99.98 1.2 1014.6 276.05 95 NA
 1 1523923200 1523923200 1020 63.143 27.313 83.71 1015.26 275.45 98.46 .47 1015.3 274.45 95 1
 1 1523923200 1523923200 1020 62.799 27.905 78.26 1015.52 274.87 99.05 1.57 1014.9 275.55 91 2
 1 1523923200 1523923200 1020 63.232 29.234 123.49 1016.04 272.67 99.74 .55 NA 271.45 89 0
 1 1523923200 1523923200 1020 62.546 29.668 62.31 1016.09 270.83 100 1.13 1015.7 274.15 92 1.8
 1 1523923200 1523923200 1020 62.602 29.724 70.74 1015.99 272.9 99.16 1.32 1015.8 275.65 69 NA
 1 1523923200 1523923200 1020 63.321 30.046 99.75 1016.29 272.28 99.67 .24 NA 269.95 92 0
 1 1523923200 1523923200 1020 63.736 25.706 157.82 1015.06 275.72 99.72 .76 1015.3 272.95 100 .6
 1 1523923200 1523923200 1020 60.112 21.698 1.58 1015.69 274.43 99.99 3.27 1015.6 273.65 100 3.4
 1 1523923200 1523923200 1020 60.387 22.552 10.28 1015.12 276.73 98.98 2.09 1014.9 277.45 98 NA
 1 1523923200 1523923200 1020 59.869 22.193 .19 1015.52 274.87 100 5.49 NA 274.65 100 3.2
 1 1523923200 1523923200 1020 59.809 22.912 .27 1014.96 276.41 98.9 4.94 1015 275.85 99 6.7
 1 1523923200 1523923200 1020 60.378 22.096 -.34 1015.38 275.24 100 3.1 1015.3 275.15 99 2.7
 1 1523923200 1523923200 1020 60.171 22.758 28.15 1015.08 276.91 99.74 2.51 NA 276.85 99 2.2
 1 1523923200 1523923200 1020 60.419 24.399 67.6 1013.91 278.89 99.96 .95 1013.5 278.65 100 0
 1 1523923200 1523923200 1020 59.92 24.35 .29 1014.2 276.8 99.98 3.08 NA 277.45 99 .7
 1 1523923200 1523923200 1020 59.949 24.926 .09 1014.01 276.16 99.98 3.1 1013.9 276.65 100 1.9
 1 1523923200 1523923200 1020 60.647 23.806 118.15 1014.18 279.52 100 1.56 NA 279.75 99 2.2
 1 1523923200 1523923200 1020 60.509 24.654 105.29 1013.79 278.67 99.85 .62 1014.2 279.55 100 NA
 1 1523923200 1523923200 1020 60.891 26.929 74.24 1013.42 280.18 99.81 2.02 1013.6 281.05 95 NA
 1 1523923200 1523923200 1020 60.527 27.673 14.14 1013.89 278.84 99.99 1.37 NA 276.55 100 0
 1 1523923200 1523923200 1020 61.198 28.473 68.82 1014.74 276.32 95.06 3.41 1015 275.95 85 3
 1 1523923200 1523923200 1020 62.51 24.808 218.26 1013.98 278.12 99.94 .86 1014.1 277.95 99 2.4
 1 1523923200 1523923200 1020 60.628 25.193 72.98 1013.6 278.74 100 .67 1013.7 278.35 100 .9
 1 1523923200 1523923200 1020 60.116 20.298 2.85 1016.16 273.01 100 2.34 1016 272.25 100 2.3
