# COMMAND: Rscript --vanilla /metfark/config/splus/temp /lustre/storeA/project/nwp/fark/2018/04/19/meps_temp_002d.table /lustre/storeA/project/nwp/fark/2018/04/19/meps_temp_002d/
#
# TYPE:temp
#
# ATTRIBUTES:14
# _n:3
# title_string1:Temperature
# title_string2:Relative Humidity
# title_string3:Wind Speed
# axis_string1:T (K)
# axis_string2:Rh (%)
# axis_string3:FF (m/s)
# file_string1:t
# file_string2:rh
# file_string3:ff
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:1
# 1:MEPS 2.5km
#
# COLUMNS:14
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_wmo*1000 + obs_id
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# pressure_hpa:round(pres,0.01)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(temp,0.01)
# model_variable2:round(rh*100,0.01)
# model_variable3:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_temp,0.01)
# obs_variable2:round(obs_rh,0.01)
# obs_variable3:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg pressure_hpa altitude_meter model_variable1 model_variable2 model_variable3 obs_variable1 obs_variable2 obs_variable3
 1 1523923200 1523923200 22113 68.98 33.12 785 65.5 265.97 83.4 3.64 265.1 265.1 NA
 1 1523923200 1523923200 22113 68.98 33.12 778 65.5 265.68 83.67 3.94 264.3 264.3 NA
 1 1523923200 1523923200 22113 68.98 33.12 759 65.5 264.88 84.4 4.76 265.3 260.6 NA
 1 1523923200 1523923200 22113 68.98 33.12 736 65.5 263.92 85.29 5.76 NA NA 5
 1 1523923200 1523923200 22113 68.98 33.12 729 65.5 263.62 85.55 6.07 263.1 253.1 NA
 1 1523923200 1523923200 22113 68.98 33.12 712 65.5 262.91 86.21 6.81 263.9 259.3 NA
 1 1523923200 1523923200 22113 68.98 33.12 700 65.5 262.41 86.67 7.34 262.9 259 10
 1 1523923200 1523923200 22113 68.98 33.12 697 65.5 262.16 85.99 7.29 NA NA 10
 1 1523923200 1523923200 22113 68.98 33.12 541 65.5 249.08 50.72 8.06 NA NA 7
 1 1523923200 1523923200 22113 68.98 33.12 536 65.5 248.66 49.59 8.17 250.5 244.5 NA
 1 1523923200 1523923200 22113 68.98 33.12 500 65.5 245.64 41.45 9.08 246.5 240.5 10
 1 1523923200 1523923200 22113 68.98 33.12 479 65.5 243.21 41.39 9.79 NA NA 11
 1 1523923200 1523923200 22113 68.98 33.12 427 65.5 237.19 41.26 11.52 238.5 227.5 NA
 1 1523923200 1523923200 22113 68.98 33.12 400 65.5 234.06 41.2 12.42 234.5 223.5 13
 1 1523923200 1523923200 22113 68.98 33.12 332 65.5 225.93 40.73 12.21 224.9 214.9 NA
 1 1523923200 1523923200 22113 68.98 33.12 319 65.5 224.38 40.65 12.36 NA NA 15
 1 1523923200 1523923200 22113 68.98 33.12 313 65.5 223.66 40.61 12.44 224.3 215.3 NA
 1 1523923200 1523923200 22113 68.98 33.12 300 65.5 222.1 40.52 12.67 222.3 213.3 13
 1 1523923200 1523923200 22113 68.98 33.12 297 65.5 222.03 38.99 12.68 221.7 212.7 13
 1 1523923200 1523923200 22113 68.98 33.12 290 65.5 221.85 35.42 12.79 222.3 213.3 NA
 1 1523923200 1523923200 22113 68.98 33.12 264 65.5 221.19 22.17 14.26 NA NA 13
 1 1523923200 1523923200 22113 68.98 33.12 250 65.5 220.84 15.04 15.61 220.5 210.5 15
 1 1523923200 1523923200 22113 68.98 33.12 244 65.5 221 13.66 15.85 220.3 210.3 NA
 1 1523923200 1523923200 22113 68.98 33.12 230 65.5 221.38 10.46 16.42 222.1 211.1 NA
 1 1523923200 1523923200 22113 68.98 33.12 200 65.5 222.19 3.59 17.67 222.1 210.1 15
 1 1523923200 1523923200 22113 68.98 33.12 191 65.5 221.92 3.36 17.73 NA NA 17
 1 1523923200 1523923200 22113 68.98 33.12 150 65.5 220.72 2.33 18.05 221.1 206.1 19
 1 1523923200 1523923200 22113 68.98 33.12 149 65.5 220.69 2.32 18 NA NA 19
 1 1523923200 1523923200 22113 68.98 33.12 105 65.5 219.4 1.89 16.1 NA NA 16
 1 1523923200 1523923200 22113 68.98 33.12 100 65.5 219.26 1.84 15.9 220.1 203.1 16
 1 1523923200 1523923200 22113 68.98 33.12 70 65.5 218.13 1.46 11.02 218.3 199.3 12
 1 1523923200 1523923200 22113 68.98 33.12 63.4 65.5 217.88 1.37 10.12 NA NA 9
 1 1523923200 1523923200 22113 68.98 33.12 61 65.5 217.79 1.34 9.81 218.9 199.9 NA
 1 1523923200 1523923200 22113 68.98 33.12 55.6 65.5 217.59 1.27 9.17 216.9 197.9 NA
 1 1523923200 1523923200 22113 68.98 33.12 50 65.5 217.38 1.2 8.6 217.9 198.9 9
 1 1523923200 1523923200 22217 67.17 32.35 1000 27.2 273.44 83.68 2.09 273.2 270 1
 1 1523923200 1523923200 22217 67.17 32.35 947 27.2 273.98 83.51 1.87 NA NA 3
 1 1523923200 1523923200 22217 67.17 32.35 942 27.2 274.03 83.5 2.04 272.9 270.2 NA
 1 1523923200 1523923200 22217 67.17 32.35 932 27.2 274.13 83.47 2.42 275.6 270.9 NA
 1 1523923200 1523923200 22217 67.17 32.35 925 27.2 274.2 83.44 2.71 275.6 270.6 2
 1 1523923200 1523923200 22217 67.17 32.35 850 27.2 270.66 64.65 2.54 271.1 264.1 2
 1 1523923200 1523923200 22217 67.17 32.35 805 27.2 268.23 79.26 3.46 NA NA 3
 1 1523923200 1523923200 22217 67.17 32.35 792 27.2 267.52 82.38 3.87 266.9 259.9 NA
 1 1523923200 1523923200 22217 67.17 32.35 784 27.2 267.08 83.88 4.17 NA NA 3
 1 1523923200 1523923200 22217 67.17 32.35 735 27.2 264.37 93.05 6.05 265.5 264.5 NA
 1 1523923200 1523923200 22217 67.17 32.35 702 27.2 262.54 99.23 7.32 NA NA 8
 1 1523923200 1523923200 22217 67.17 32.35 700 27.2 262.43 99.6 7.4 262.9 261.7 8
 1 1523923200 1523923200 22217 67.17 32.35 641 27.2 257.28 98.66 9.37 NA NA 7
 1 1523923200 1523923200 22217 67.17 32.35 622 27.2 255.62 98.36 10.04 256.3 255.2 NA
 1 1523923200 1523923200 22217 67.17 32.35 602 27.2 253.88 98.04 10.75 255.1 255.1 NA
 1 1523923200 1523923200 22217 67.17 32.35 590 27.2 252.83 97.85 11.18 NA NA 8
 1 1523923200 1523923200 22217 67.17 32.35 572 27.2 251.26 97.56 11.83 NA NA 8
 1 1523923200 1523923200 22217 67.17 32.35 571 27.2 251.17 97.55 11.86 251.7 251.7 NA
 1 1523923200 1523923200 22217 67.17 32.35 554 27.2 249.68 97.28 12.48 NA NA 8
 1 1523923200 1523923200 22217 67.17 32.35 549 27.2 249.25 97.2 12.66 250.5 248.6 NA
 1 1523923200 1523923200 22217 67.17 32.35 540 27.2 248.46 97.05 12.99 NA NA 9
 1 1523923200 1523923200 22217 67.17 32.35 525 27.2 247.15 96.81 13.54 NA NA 9
 1 1523923200 1523923200 22217 67.17 32.35 500 27.2 244.97 96.42 14.47 246.1 238.1 11
 1 1523923200 1523923200 22217 67.17 32.35 495 27.2 244.56 92.97 15.46 NA NA 11
 1 1523923200 1523923200 22217 67.17 32.35 480 27.2 243.32 82.62 18.48 NA NA 12
 1 1523923200 1523923200 22217 67.17 32.35 450 27.2 240.86 61.91 24.62 240.9 231.9 NA
 1 1523923200 1523923200 22217 67.17 32.35 434 27.2 239.54 50.87 27.92 NA NA 25
 1 1523923200 1523923200 22217 67.17 32.35 424 27.2 238.72 43.97 29.99 240.7 230.7 NA
 1 1523923200 1523923200 22217 67.17 32.35 408 27.2 237.4 32.93 33.31 NA NA 29
 1 1523923200 1523923200 22217 67.17 32.35 400 27.2 236.74 27.41 34.98 237.9 225.9 29
 1 1523923200 1523923200 22217 67.17 32.35 301 27.2 224.32 4.41 32.46 NA NA 35
 1 1523923200 1523923200 22217 67.17 32.35 300 27.2 224.19 4.18 32.43 223.9 210.9 35
 1 1523923200 1523923200 22217 67.17 32.35 289 27.2 223.52 5.54 30.89 221.7 208.7 32
 1 1523923200 1523923200 22217 67.17 32.35 250 27.2 221.15 10.36 25.77 221.9 208.9 20
 1 1523923200 1523923200 22217 67.17 32.35 230 27.2 221.05 9.08 22.84 NA NA 18
 1 1523923200 1523923200 22217 67.17 32.35 202 27.2 220.9 7.29 19.09 NA NA 20
