# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d.table /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d/
#
# TYPE:synop
#
# ATTRIBUTES:25
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# min1:-999999
# max1:+999999
# min2:-999999
# max2:+999999
# min3:-999999
# max3:+999999
# min4:-999999
# max4:+999999
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:2
# 1:ECMWF
# 2:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1524528000 1524528000 1020 68.17 25.783 276 1001.55 274.97 27366.56 5.58 NA 274.45 274.05 3.9
 1 1524528000 1524528000 1020 67.822 27.746 240 1003.83 274.61 27230.9 5.01 NA 275.95 271.65 5
 1 1524528000 1524528000 1020 68.415 27.413 302 1002.27 274.7 27317.97 5.75 NA 274.25 273.25 NA
 1 1524528000 1524528000 1020 68.434 27.444 437 1002.22 274.82 27320.92 5.76 1002.3 273.15 272.95 10.7
 1 1524528000 1524528000 1020 68.478 28.301 253 1002.62 275.54 27303.81 4.73 1003.1 275.85 272.75 4.6
 1 1524528000 1524528000 1020 68.603 23.576 374 999.21 273.52 27315.45 7.42 998.9 273.85 273.35 6.7
 1 1524528000 1524528000 1020 68.903 25.736 285 1000.13 274.78 27352.99 5.13 1000.1 274.65 273.65 6.8
 1 1524528000 1524528000 1020 70.082 27.897 22 999.8 273.84 27213.56 3.65 999.8 275.25 271.95 2.9
 1 1524528000 1524528000 1020 69.072 27.493 123 1001.15 275.06 27331.95 4.71 NA 275.45 273.05 6.1
 1 1524528000 1524528000 1020 69.049 27.757 120 1001.31 274.81 27318.57 6.44 1001 275.15 273.15 8.6
 1 1524528000 1524528000 1020 61.145 21.303 4 999.99 277.43 27631.96 7.3 1000.2 277.45 276.95 10
 1 1524528000 1524528000 1020 61.253 22.346 38 1001.31 276.93 27591.59 5.18 1001.2 277.15 274.35 5.3
 1 1524528000 1524528000 1020 61.466 23.747 84 1003.76 275.47 27131.87 5.1 1003.4 276.35 271.15 NA
 1 1524528000 1524528000 1020 61.265 25.52 79 1006.26 274.38 26881.69 5.08 1006.3 274.85 271.05 5.4
 1 1524528000 1524528000 1020 61.217 25.133 134 1005.76 275.27 26842.53 4.69 1006.3 275.25 269.55 3.4
 1 1524528000 1524528000 1020 61.039 28.564 46 1009.86 273.05 26610.32 3.88 1010.1 272.65 267.05 NA
 1 1524528000 1524528000 1020 61.058 28.209 103 1009.45 273.01 26638.15 3.96 1009.7 273.85 266.05 3.4
 1 1524528000 1524528000 1020 61.445 29.461 74 1010.85 271.81 26680.3 3.13 1011.2 269.95 267.75 2.1
 1 1524528000 1524528000 1020 62.334 21.191 5 999.45 277.2 27453.91 8.23 999.4 276.45 274.95 10.6
 1 1524528000 1524528000 1020 62.203 21.17 0 999.44 277.22 27462.14 9.1 999.5 276.65 275.05 11.2
 1 1524528000 1524528000 1020 61.839 22.464 123 1001.71 275.59 27405.41 5.29 1001.6 275.35 274.05 4.7
 1 1524528000 1524528000 1020 62.328 23.542 138 1003.57 275.31 26959.98 4.86 NA 276.45 269.75 6.6
 1 1524528000 1524528000 1020 61.518 23.754 96 1003.79 275.36 27094.72 5.16 1003.5 276.25 270.05 7.9
 1 1524528000 1524528000 1020 61.704 25.505 80 1006.36 274.07 26764.63 5.18 NA 275.45 269.15 3.9
 1 1524528000 1524528000 1020 61.892 27.885 110 1009.22 272.21 26597.73 3.7 1009.4 274.35 267.55 3.1
 1 1524528000 1524528000 1020 62.322 27.908 83 1009.16 271.77 26811.16 3.65 1009 274.85 268.35 3.2
 1 1524528000 1524528000 1020 62.063 28.566 79 1009.81 271.97 26839.01 4.43 1010 273.25 269.75 5.1
 1 1524528000 1524528000 1020 61.802 29.315 78 1010.53 271.88 26847.29 4.39 1010.7 272.15 265.85 NA
 1 1524528000 1524528000 1020 62.934 21.185 1 999.58 277.19 27347.52 6.65 999.8 276.75 272.45 5
 1 1524528000 1524528000 1020 62.978 20.74 2 999.02 276.97 27357.08 8.88 999.2 276.75 273.85 8.4
 1 1524528000 1524528000 1020 62.938 22.489 26 1001.67 277.27 27080.79 4.64 1001.7 278.15 271.55 4.9
 1 1524528000 1524528000 1020 63.446 24.444 153 1004.21 275.2 27117.02 4.49 NA 276.35 270.25 2.4
 1 1524528000 1524528000 1020 63.089 24.261 171 1004.18 275 27032.73 4.62 1004.2 276.15 270.45 NA
 1 1524528000 1524528000 1020 63.143 27.313 90 1008.05 272.25 27038.56 3.48 1007.9 274.55 268.85 2
 1 1524528000 1524528000 1020 62.799 27.905 86 1008.76 272.12 26951.18 3.79 1008.6 274.25 268.75 4
